stock_code,1W,1M,3M,6M,1Y,2Y,_sort_key
000660,-1.4293960717509477,-0.796443280074636,-0.09623982744390923,-0.2289873391141475,-0.30781515142930016,-0.30401704357949993,-1.1253790281714477
005290,1.0141295931817957,0.3969998564358308,0.6042072392867449,0.2713819813754698,0.36148000998644186,0.39026126402572475,0.6238683291560709
005930,-1.5424716473849165,-0.7219485788766097,-0.9848314046818829,-1.1749213759640504,-1.1000587115815206,-0.9206628078785927,-0.6218088395063238
031980,0.13049809208597649,0.9279331257779191,1.7200858657917493,1.6005846510624164,1.6045510919424204,1.4037461962362348,-1.2732481041502584
036540,0.6358826520826371,0.36529734803433367,0.35585861133381075,0.4049585615654225,0.6346704178754078,0.6442963051483312,-0.008413653065694193
036810,0.32393174358347654,0.10488013429937303,0.14477776471981568,0.2505979387920239,0.35955991367534057,0.26102314680813227,0.06290859677534427
036930,0.32288676656330784,-0.13568035919188917,0.01300467160291437,0.14349534281281776,0.16981089427602827,0.0894697960006374,0.23341697056267044
039030,-0.41533252569024975,-1.192489266589001,-0.7756443740532555,-0.5795522896265676,-0.43039871727220536,-0.3916251857180645,-0.02370733997218527
042700,-0.7475545544466924,-0.40855213560339126,-0.2897566939966441,-0.3622948148437785,-0.23959208490634928,-0.2845554202314845,-0.4629991342152079
058470,-1.3969803690249436,-1.0103104805331586,-1.528257268431599,-0.9310221716459848,-0.8741506363505173,-0.6507212121035408,-0.7462591569214028
059090,0.07484075477627947,0.05085120589021445,0.22845973470734574,0.15459066452647488,0.16428718284755858,0.11635258652006496,-0.04151183174378549
064760,-0.2944060853427069,-0.04104817749429425,-0.2844565536872739,-0.46319252986155235,-0.4578843402173039,-0.3304499207959951,0.03604383545328821
067310,-0.1391068463905834,-0.004381352655785908,-0.2837726255469794,-0.3645905320781828,-0.2550541661232215,-0.20993947405995653,0.07083262766937312
079370,-0.7774425454247803,-1.2519880451048953,-1.0588843411305147,-0.8328446417281671,-0.8113853252203489,-0.4768051494031369,-0.3006373960216434
080220,0.1371215749716071,-0.503238199522337,-0.5521003922796066,-0.6389575928134785,-0.6267419349087779,-0.5797585166340811,0.7168800916056881
082270,-0.7131169758563065,-0.5119695463274649,-0.2667376057915157,-0.33727456726016586,-0.1938427955277588,-0.169060581820857,-0.5440563940354495
084370,0.009083654849978254,-0.5213241083883519,-0.4772538899052334,-0.7522758998975954,-0.5773069146984727,-0.5452177774274506,0.5543014322774289
089030,-0.404731064834347,-0.5450088990651852,-0.9173676152157083,-0.861196207053004,-0.7146606608727102,-0.8154388138071492,0.4107077489728022
095340,-0.9544804510635448,-1.728000793075384,-1.0079355429664318,-0.7865102636412146,-0.8280334371201562,-0.7817160688926504,-0.1727643821708944
095610,-0.437735797178106,-1.0016138114941704,-1.196419407033953,-1.3806241580812857,-1.656017450119059,-1.4598845483620708,1.0221487511839649
101490,-0.38099448580469086,-1.1463553837772225,-1.63945828844857,-1.9535543315706385,-2.1097813244579364,-1.9220400714410966,1.5410455856364056
131290,0.7142896319460401,1.1055065004817608,1.0838250498620896,0.8649639798063901,1.2314117868414447,1.2141287437419648,-0.49983911179592466
131970,0.44107240120196134,0.4222940485461438,0.8125058872647665,0.677040750445471,0.9542243684787729,1.120958327202632,-0.6798859260006707
166090,-0.8509520121922746,-0.45646072895102674,-0.685648436207647,-0.5644185282628976,-0.4178249727914739,-0.49541801842705996,-0.3555339937652146
183300,-1.6660508005950223,-0.6139261573442044,-0.8974637621289226,-1.1819669405303257,-1.2670936371266122,-1.4677513496669095,-0.19829945092811285
232140,1.7324616786889617,0.07935630004702719,0.004670494479399727,-0.0322273302175466,0.07224371749686587,0.03605038887245119,1.6964112898165105
240810,-0.13279042526664123,0.010934766377877107,-0.09670716829759671,-0.2544250361113806,-0.1737984130914775,-0.13152313237782867,-0.0012672928888125545
253590,1.3292842242682354,-0.12819005547329856,0.0009638388879767747,0.03805552704802967,0.14528279162318375,0.10354456594464305,1.2257396583235924
319660,0.6411559978434948,-0.24756994108630073,0.15908049226131732,0.03933246481523171,0.22295797868647313,0.17920179290275018,0.4619542049407446
348210,1.1717673239469484,0.8371939585355272,0.12901837595874702,0.5484637686975641,0.954104114412063,1.1716627418826349,0.00010458206431351869
357780,0.681997689976581,1.077562352720743,1.2162332272274305,1.317441517276437,1.6504147874742507,1.7848158171725372,-1.1028181271959563
399720,-0.0023234944023581873,-0.2482208809799453,-0.270753248940327,-0.31251715747931635,-0.2788963045402256,-0.19679159686620484,0.19446810246384666
403870,-0.1297700785572114,-0.29512579373431913,-0.18683649069086425,-0.1706253440322372,-0.15471240429407915,-0.11835013951298165,-0.011419939044229749
